Date,AZO,BKNG,CMG,NVR,ORLY
2000-06-07,28.375,270.0,,56.5625,6.8125
2000-06-08,27.75,273.375,,56.6875,7.03125
2000-06-09,27.9375,270.75,,55.5,6.8125
2000-06-12,28.0625,252.0,,54.8125,6.96875
2000-06-13,28.75,261.0,,55.375,7.03125
2000-06-14,28.9375,259.125,,55.625,6.75
2000-06-15,29.0,256.5,,56.25,7.03125
2000-06-16,27.375,259.125,,55.375,6.96875
2000-06-19,27.125,267.375,,55.875,6.953125
2000-06-20,26.375,279.0,,55.125,6.78125
2000-06-21,26.3125,270.0,,55.0625,6.96875
2000-06-22,25.9375,271.875,,54.25,6.84375
2000-06-23,24.9375,250.875,,54.5,6.1875
2000-06-26,24.4375,228.0,,55.25,6.21875
2000-06-27,24.8125,240.0,,56.4375,6.34375
2000-06-28,24.640625,241.125,,57.75,7.0
2000-06-29,24.0,220.875,,58.625,6.875
2000-06-30,22.015625,227.90625,,57.0,6.9375
2000-07-03,23.75,240.0,,57.375,6.71875
2000-07-05,24.0625,222.75,,57.875,6.6875
2000-07-06,24.5,228.375,,59.0,7.21875
2000-07-07,24.625,225.375,,60.9375,7.21875
2000-07-10,24.4375,223.5,,60.125,7.1875
2000-07-11,24.4375,195.0,,59.875,7.40625
2000-07-12,24.0625,213.75,,59.375,7.25
2000-07-13,23.625,230.625,,59.6875,7.25
2000-07-14,24.1875,236.625,,59.75,7.1875
2000-07-17,23.9375,237.375,,59.8125,7.28125
2000-07-18,24.0,232.5,,59.75,7.1875
2000-07-19,23.625,238.5,,60.0,7.125
2000-07-20,23.625,243.375,,61.8125,7.15625
2000-07-21,23.375,240.375,,61.375,6.75
2000-07-24,23.0625,186.75,,61.125,6.8125
2000-07-25,23.1875,187.5,,59.875,6.96875
2000-07-26,23.0,171.75,,59.0,7.25
2000-07-27,22.875,154.875,,59.25,7.15625
2000-07-28,22.8125,147.0,,59.9375,6.875
2000-07-31,22.875,141.75,,61.625,7.21875
2000-08-01,22.875,149.625,,62.125,7.28125
2000-08-02,23.125,148.875,,63.75,7.34375
2000-08-03,23.125,145.875,,64.0,7.71875
2000-08-04,22.9375,145.5,,66.375,8.03125
2000-08-07,23.0,165.0,,72.5,8.03125
2000-08-08,22.9375,168.0,,72.625,7.90625
2000-08-09,22.75,153.75,,70.75,7.8125
2000-08-10,22.8125,142.5,,69.5,7.65625
2000-08-11,22.0,144.0,,72.0,7.9375
2000-08-14,22.75,147.375,,73.9375,8.03125
2000-08-15,22.375,152.25,,70.625,7.875
2000-08-16,22.0625,150.75,,71.0,7.9375
2000-08-17,22.125,151.5,,70.625,7.90625
2000-08-18,22.0,158.625,,71.0,7.75
2000-08-21,21.9375,153.0,,71.8125,7.6875
2000-08-22,21.9375,148.5,,71.125,7.375
2000-08-23,21.75,152.625,,69.75,7.875
2000-08-24,22.0,162.75,,70.125,7.8125
2000-08-25,22.0,159.0,,69.625,7.75
2000-08-28,22.0,160.125,,70.125,7.71875
2000-08-29,22.125,165.0,,70.625,7.71875
2000-08-30,22.3125,166.5,,71.375,7.78125
2000-08-31,22.515625,163.125,,73.5,7.625
2000-09-01,22.625,155.625,,72.0,7.53125
2000-09-05,23.125,173.625,,72.25,7.375
2000-09-06,23.375,165.0,,73.4375,7.28125
2000-09-07,23.0,155.625,,75.3125,7.46875
2000-09-08,23.4375,154.5,,77.125,7.15625
2000-09-11,23.125,159.0,,78.25,7.21875
2000-09-12,23.25,165.0,,78.75,7.3125
2000-09-13,22.5625,167.625,,78.875,7.28125
2000-09-14,22.375,162.0,,78.25,7.3125
2000-09-15,22.0,156.75,,78.3125,6.9375
2000-09-18,22.1875,153.0,,77.5625,6.90625
2000-09-19,21.5625,150.75,,77.5625,7.0625
2000-09-20,21.125,140.625,,79.8125,6.96875
2000-09-21,21.75,129.375,,79.6875,7.21875
2000-09-22,21.875,131.25,,78.75,7.0625
2000-09-25,22.4375,122.625,,79.1500015258789,6.8125
2000-09-26,22.5625,111.84375,,79.0,7.0
2000-09-27,22.8125,64.5,,79.25,7.03125
2000-09-28,22.4375,71.25,,80.75,7.34375
2000-09-29,22.6875,71.25,,81.0,7.3125
2000-10-02,22.125,65.25,,81.52999877929688,7.125
2000-10-03,22.8125,59.25,,81.44000244140625,7.3125
2000-10-04,23.1875,56.25,,79.5,7.375
2000-10-05,23.75,34.875,,79.0999984741211,7.0625
2000-10-06,24.875,33.375,,76.5,7.0625
2000-10-09,24.5625,39.0,,76.0,7.1875
2000-10-10,24.3125,40.6875,,78.08000183105469,7.09375
2000-10-11,24.25,32.625,,79.80000305175781,7.03125
2000-10-12,23.5625,31.125,,79.41000366210938,7.21875
2000-10-13,24.6875,37.875,,79.26000213623047,7.75
2000-10-16,25.25,34.5,,80.0999984741211,7.28125
2000-10-17,23.875,30.9375,,80.12999725341797,7.28125
2000-10-18,24.375,29.25,,79.51000213623047,7.25
2000-10-19,25.0,30.75,,80.55000305175781,7.25
2000-10-20,24.125,32.53125,,82.4000015258789,7.125
2000-10-23,24.375,33.75,,83.5,7.1875
2000-10-24,25.0,32.4375,,85.0,7.1875
2000-10-25,24.875,31.875,,87.20999908447266,7.59375
2000-10-26,24.9375,30.375,,88.93000030517578,7.84375
2000-10-27,25.4375,33.75,,95.25,7.9375
2000-10-30,25.9375,33.375,,99.91999816894531,8.8125
2000-10-31,26.8125,34.5,,103.4000015258789,9.0
2000-11-01,26.9375,37.125,,100.58999633789062,8.90625
2000-11-02,27.875,41.0625,,100.83999633789062,8.9375
2000-11-03,26.0,28.3125,,102.97000122070312,9.15625
2000-11-06,26.5,27.0,,103.25,8.8125
2000-11-07,26.5625,25.6875,,104.7300033569336,8.84375
