Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Estado_Location,Date added,CIK,Founded
AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",Tennessee,02/01/1997,866787,1979
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",Connecticut,06/11/2009,1075531,1996
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",Virginia,26/09/2019,906163,1980
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",Missouri,27/03/2009,898173,1957
