Date,AZO,BKNG,CMG,NVR,ORLY
2000-08-14,763500,550533,,45000,186600
2000-08-15,453600,496783,,43600,108000
2000-08-16,471300,507367,,5000,139200
2000-08-17,774900,417683,,7400,90400
2000-08-18,711000,372950,,5400,222800
2000-08-21,850500,359183,,10800,308800
2000-08-22,745300,179900,,6600,224600
2000-08-23,865200,410533,,35800,177800
2000-08-24,451300,785600,,8900,449600
2000-08-25,235200,469117,,20100,78800
2000-08-28,379500,269200,,14200,87400
2000-08-29,425000,402150,,10200,107200
2000-08-30,425400,575617,,14400,102400
2000-08-31,499400,575533,,20200,197000
2000-09-01,247900,430633,,16000,228600
2000-09-05,384100,776300,,41300,126800
2000-09-06,349600,401583,,17000,894600
2000-09-07,254000,948417,,34100,1074800
2000-09-08,391200,342083,,35900,313800
2000-09-11,408100,529133,,11100,237400
2000-09-12,321700,502333,,10900,161000
2000-09-13,455000,401583,,13700,251400
2000-09-14,515700,342600,,15800,98000
2000-09-15,748800,301067,,29400,164800
2000-09-18,540000,328983,,35500,521000
2000-09-19,400400,264900,,9500,361800
2000-09-20,316700,709500,,14300,174600
2000-09-21,326800,1562700,,24500,209400
2000-09-22,457900,638433,,29800,227000
2000-09-25,502300,332250,,17500,202000
2000-09-26,427100,633267,,14300,240800
2000-09-27,431600,7213933,,26700,294200
2000-09-28,1303700,2622900,,16200,172200
2000-09-29,622000,1435633,,21800,344400
2000-10-02,602700,704083,,30700,159200
2000-10-03,430200,651983,,18100,278400
2000-10-04,468700,701633,,18100,186800
2000-10-05,605800,4629517,,12500,80000
2000-10-06,908700,2903367,,42600,127400
2000-10-09,545800,1477600,,22400,108600
2000-10-10,322700,986383,,52500,171400
2000-10-11,384900,963400,,23800,231800
2000-10-12,467100,679783,,22300,304200
2000-10-13,699300,836833,,21300,309400
2000-10-16,558900,496117,,20300,331200
2000-10-17,511000,474067,,17000,297200
2000-10-18,438800,411833,,7200,277800
2000-10-19,620300,358867,,11800,339600
2000-10-20,577600,849500,,20500,109000
2000-10-23,531200,517083,,30500,164600
2000-10-24,423300,359067,,27600,261600
2000-10-25,305000,222883,,63400,367400
